prompt_id,num_correct,pass_at_1,pass_at_32
gsm8k_validation_00440,316,0.6171875,0.9999999999999917
gsm8k_validation_00441,361,0.705078125,1.0
gsm8k_validation_00442,212,0.4140625,0.9999999819575831
gsm8k_validation_00443,56,0.109375,0.9783128324860476
gsm8k_validation_00444,333,0.650390625,0.9999999999999997
gsm8k_validation_00445,4,0.0078125,0.22812991964824247
gsm8k_validation_00446,26,0.05078125,0.8212611764947719
gsm8k_validation_00447,12,0.0234375,0.5430545818285224
gsm8k_validation_00448,215,0.419921875,0.9999999871526458
gsm8k_validation_00449,13,0.025390625,0.5722990885914971
gsm8k_validation_00450,12,0.0234375,0.5430545818285224
gsm8k_validation_00451,15,0.029296875,0.625447168463267
gsm8k_validation_00452,145,0.283203125,0.9999842311252651
gsm8k_validation_00453,32,0.0625,0.8814820402957734
gsm8k_validation_00454,85,0.166015625,0.9975491165577718
gsm8k_validation_00455,31,0.060546875,0.8730353260184119
gsm8k_validation_00456,41,0.080078125,0.9366480867752992
gsm8k_validation_00457,141,0.275390625,0.9999773449541737
gsm8k_validation_00458,85,0.166015625,0.9975491165577718
gsm8k_validation_00459,42,0.08203125,0.9409522507311175
gsm8k_validation_00460,23,0.044921875,0.7809293998836226
gsm8k_validation_00461,13,0.025390625,0.5722990885914971
gsm8k_validation_00462,352,0.6875,1.0
gsm8k_validation_00463,208,0.40625,0.9999999717817468
gsm8k_validation_00464,149,0.291015625,0.9999890696795007
gsm8k_validation_00465,191,0.373046875,0.9999998233985653
gsm8k_validation_00466,59,0.115234375,0.9825743327494426
gsm8k_validation_00467,225,0.439453125,0.9999999959674696
gsm8k_validation_00468,4,0.0078125,0.22812991964824247
gsm8k_validation_00469,248,0.484375,0.999999999763502
gsm8k_validation_00470,342,0.66796875,0.9999999999999999
gsm8k_validation_00471,281,0.548828125,0.9999999999975423
gsm8k_validation_00472,200,0.390625,0.9999999322305667
gsm8k_validation_00473,67,0.130859375,0.9903484625126118
gsm8k_validation_00474,103,0.201171875,0.999414682260423
gsm8k_validation_00475,286,0.55859375,0.9999999999988421
gsm8k_validation_00476,129,0.251953125,0.9999344105429765
gsm8k_validation_00477,325,0.634765625,0.9999999999999983
gsm8k_validation_00478,58,0.11328125,0.9812529551380259
gsm8k_validation_00479,168,0.328125,0.999998194380169
gsm8k_validation_00480,245,0.478515625,0.9999999996526026
gsm8k_validation_00481,443,0.865234375,1.0
gsm8k_validation_00482,328,0.640625,0.9999999999999991
gsm8k_validation_00483,65,0.126953125,0.9888007111544108
gsm8k_validation_00484,227,0.443359375,0.9999999968179747
gsm8k_validation_00485,271,0.529296875,0.9999999999894801
gsm8k_validation_00486,31,0.060546875,0.8730353260184119
gsm8k_validation_00487,1,0.001953125,0.0625
gsm8k_validation_00488,324,0.6328125,0.999999999999998
gsm8k_validation_00489,164,0.3203125,0.9999973395285273
gsm8k_validation_00490,151,0.294921875,0.99999091427402
gsm8k_validation_00491,71,0.138671875,0.9928467982937467
gsm8k_validation_00492,7,0.013671875,0.3652526119388907
gsm8k_validation_00493,8,0.015625,0.40547422860810944
gsm8k_validation_00494,382,0.74609375,1.0
